lat,lng,site_name,dev_stat,label,status,lith,unit_name,map_source,n_mrds_records,age_span,b_age,t_age,age_mid,lith_metamorphic,lith_plutonic,lith_volcanic,lith_sedimentary,lith_unconsolidated,lith_schist,lith_gneiss,lith_quartz,lith_mafic,lith_felsic
34.38073,-83.03048,"Unknown, Prospect",Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.39453,-82.99297,"Unknown, Prospect",Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.36263,-83.09708,Unknown/Bowers Properties,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.34183,-83.06098,Hays Property,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,2,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.27513,-83.05128,Brown Mine (Kings Mount Gold Mine),Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
34.97231,-83.886,Murdock Vein Mine,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,5,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.96261,-83.95823,Gum Log/J.H. Brown/Brown/Placer Mines,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.98341,-83.9193,M. Kinsey Mine,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,8,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.66544,-82.43736,Dill,Past Producer,1,OK,mudstone-carbonate-sandstone-conglomerate,Paleozoic sedimentary and volcanic rocks,154,3,55.60000000000002,541.0,485.4,513.2,0,0,0,1,0,0,0,0,0,0
34.96261,-83.64159,Hooper & Berong Prospect,Past Producer,1,OK,sedimentary rocks,Neoproterozoic sedimentary rocks,154,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
